1,36,25.65056505
2,56,38.80992446
3,63,42.79145409
1,31,21.7747186
2,63,40.88950933
3,70,47.64235919
1,42,29.23278965
2,55,39.18893432
1,32,25.22970238
0,20,17.83342209
1,42,31.40085423
2,54,35.93571696
3,73,48.47207473
1,46,30.60516552
2,57,38.3462546
2,59,40.75583893
3,64,46.02729225
2,58,41.21845337
1,53,36.02782878
3,68,46.56779374
2,69,43.27705274
1,54,38.338878
2,62,42.80323979
0,21,16.61936171
0,26,20.46002514
1,39,28.04179352
1,39,27.80930344
2,70,45.35323813
1,34,24.89791587
2,44,29.28704094
